timestamp,open,high,low,close,volume
2025-11-06 09:15:00,22474.84,22476.13,22470.68,22473.73,2098
2025-11-06 09:20:00,22473.73,22476.89,22470.32,22471.86,1474
2025-11-06 09:25:00,22471.86,22477.12,22470.93,22476.2,4285
2025-11-06 09:30:00,22476.2,22479.65,22459.77,22460.89,652
2025-11-06 09:35:00,22460.89,22465.22,22458.07,22463.4,26862
2025-11-06 09:40:00,22463.4,22463.54,22458.75,22461.6,1317
2025-11-06 09:45:00,22461.6,22464.79,22460.85,22462.49,1210
2025-11-06 09:50:00,22462.49,22463.69,22456.45,22460.15,2921
2025-11-06 09:55:00,22460.15,22461.8,22449.25,22451.69,4077
2025-11-06 10:00:00,22451.69,22454.35,22435.62,22436.01,9024
2025-11-06 10:05:00,22436.01,22437.62,22435.41,22437.38,324
2025-11-06 10:10:00,22437.38,22438.31,22429.51,22431.63,4991
2025-11-06 10:15:00,22431.63,22432.27,22416.75,22417.52,1079
2025-11-06 10:20:00,22417.52,22424.48,22415.66,22422.41,846
2025-11-06 10:25:00,22422.41,22423.08,22417.99,22419.94,1452
2025-11-06 10:30:00,22419.94,22422.15,22416.06,22418.46,10084
2025-11-06 10:35:00,22418.46,22429.45,22416.45,22429.31,5127
2025-11-06 10:40:00,22429.31,22430.03,22421.07,22424.14,2824
2025-11-06 10:45:00,22424.14,22441.9,22422.5,22436.66,3396
2025-11-06 10:50:00,22436.66,22436.85,22430.29,22434.27,2144
2025-11-06 10:55:00,22434.27,22440.08,22433.23,22437.13,886
2025-11-06 11:00:00,22437.13,22438.96,22432.45,22433.11,1346
2025-11-06 11:05:00,22433.11,22437.41,22431.18,22437.22,1039
2025-11-06 11:10:00,22437.22,22438.0,22431.67,22434.6,4647
2025-11-06 11:15:00,22434.6,22436.7,22434.13,22436.69,356
2025-11-06 11:20:00,22436.69,22437.37,22431.72,22433.32,2340
2025-11-06 11:25:00,22433.32,22440.33,22432.97,22436.55,4386
2025-11-06 11:30:00,22436.55,22440.39,22435.9,22435.96,3262
2025-11-06 11:35:00,22435.96,22456.05,22435.35,22455.66,2829
2025-11-06 11:40:00,22455.66,22457.95,22444.81,22446.31,9764
2025-11-06 11:45:00,22446.31,22449.12,22436.24,22439.04,7188
2025-11-06 11:50:00,22439.04,22458.54,22437.91,22456.56,3461
2025-11-06 11:55:00,22456.56,22459.66,22452.4,22452.53,605
2025-11-06 12:00:00,22452.53,22458.16,22449.43,22456.32,920
2025-11-06 12:05:00,22456.32,22457.95,22451.29,22453.75,4193
2025-11-06 12:10:00,22453.75,22467.42,22453.38,22464.2,4402
2025-11-06 12:15:00,22464.2,22472.93,22461.56,22470.46,6521
2025-11-06 12:20:00,22470.46,22473.34,22469.77,22472.83,1074
2025-11-06 12:25:00,22472.83,22475.28,22471.41,22474.69,48955
2025-11-06 12:30:00,22474.69,22480.87,22473.38,22478.48,690
2025-11-06 12:35:00,22478.48,22487.1,22476.84,22484.78,12645
2025-11-06 12:40:00,22484.78,22489.73,22480.99,22488.08,2063
2025-11-06 12:45:00,22488.08,22489.86,22480.42,22482.05,2655
2025-11-06 12:50:00,22482.05,22485.33,22480.4,22484.78,3039
2025-11-06 12:55:00,22484.78,22496.94,22479.34,22496.41,7619
2025-11-06 13:00:00,22496.41,22498.55,22488.59,22489.55,2131
2025-11-06 13:05:00,22489.55,22496.21,22489.41,22495.26,836
2025-11-06 13:10:00,22495.26,22496.16,22481.43,22483.15,4109
2025-11-06 13:15:00,22483.15,22483.49,22472.41,22473.18,791
2025-11-06 13:20:00,22473.18,22474.53,22470.89,22474.41,5098
2025-11-06 13:25:00,22474.41,22481.06,22472.3,22478.9,377
2025-11-06 13:30:00,22478.9,22479.93,22470.37,22471.39,6454
2025-11-06 13:35:00,22471.39,22503.36,22469.12,22502.22,12469
2025-11-06 13:40:00,22502.22,22508.06,22500.7,22507.43,935
2025-11-06 13:45:00,22507.43,22508.4,22505.37,22505.53,95988
2025-11-06 13:50:00,22505.53,22506.9,22487.37,22490.59,1468
2025-11-06 13:55:00,22490.59,22499.43,22488.44,22499.31,1019
2025-11-06 14:00:00,22499.31,22506.2,22498.87,22504.74,3191
2025-11-06 14:05:00,22504.74,22509.03,22498.26,22499.53,142
2025-11-06 14:10:00,22499.53,22502.34,22497.82,22501.02,907
2025-11-06 14:15:00,22501.02,22502.03,22498.37,22500.1,492
2025-11-06 14:20:00,22500.1,22501.05,22496.12,22497.43,42115
2025-11-06 14:25:00,22497.43,22503.19,22495.59,22500.67,71914
2025-11-06 14:30:00,22500.67,22511.97,22499.7,22508.93,19937
2025-11-06 14:35:00,22508.93,22509.81,22501.72,22503.27,742
2025-11-06 14:40:00,22503.27,22509.75,22500.74,22502.79,2040
2025-11-06 14:45:00,22502.79,22506.05,22489.95,22492.81,1540
2025-11-06 14:50:00,22492.81,22496.74,22489.93,22493.85,17064
2025-11-06 14:55:00,22493.85,22495.9,22492.93,22493.93,4018
2025-11-06 15:00:00,22493.93,22494.07,22488.36,22489.13,3534
2025-11-06 15:05:00,22489.13,22497.6,22486.66,22494.43,73097
2025-11-06 15:10:00,22494.43,22494.73,22477.64,22478.81,4543
2025-11-06 15:15:00,22478.81,22479.23,22472.85,22473.83,1231
2025-11-06 15:20:00,22473.83,22481.34,22472.45,22480.63,11491
2025-11-06 15:25:00,22480.63,22484.71,22479.37,22483.09,859
2025-11-06 15:30:00,22483.09,22484.58,22477.38,22478.61,2888
2025-11-07 09:15:00,22455.87,22467.27,22454.77,22466.09,2201
2025-11-07 09:20:00,22466.09,22468.29,22462.7,22464.35,10099
2025-11-07 09:25:00,22464.35,22474.83,22462.98,22474.79,1871
2025-11-07 09:30:00,22474.79,22477.64,22474.6,22477.38,7278
2025-11-07 09:35:00,22477.38,22481.57,22468.83,22470.84,482
2025-11-07 09:40:00,22470.84,22481.69,22469.59,22480.1,7650
2025-11-07 09:45:00,22480.1,22481.9,22479.85,22480.0,1079
2025-11-07 09:50:00,22480.0,22488.1,22478.35,22487.81,1840
2025-11-07 09:55:00,22487.81,22492.24,22486.16,22491.11,4296
2025-11-07 10:00:00,22491.11,22494.08,22490.17,22493.07,4222
